text,similarity,levenshtein,index
Bacillus subtilis subsp. subtilis str. 168,1,0,634155
Bacillus subtilis subsp. subtilis str. 168,1,0,1226020
Bacillus subtilis subsp. subtilis str. 168,1,0,1619886
Bacillus subtilis subsp. subtilis str. 168,1,0,1856789
Bacillus subtilis subsp. subtilis str. 168,1,0,3085246
Bacteroides cellulosilyticus DSM 14838,1,0,1882
Bacteroides cellulosilyticus DSM 14838,1,0,1408855
Bacteroides cellulosilyticus DSM 14838,1,0,3107460
Bacteroides eggerthii DSM 20697,1,0,1772
Bacteroides eggerthii DSM 20697,1,0,3107672
Bacteroides eggerthii DSM 20697,1,0,3108850
Bacteroides fragilis NCTC 9343,1,0,1021
Bacteroides fragilis NCTC 9343,1,0,2751494
Bacteroides ovatus ATCC 8483,1,0,1689
Bacteroides stercoris ATCC 43183,1,0,1709
Bacteroides stercoris ATCC 43183,1,0,1237550
Bacteroides stercoris ATCC 43183,1,0,2763875
Bacteroides stercoris ATCC 43183,1,0,2763881
Bacteroides stercoris ATCC 43183,1,0,3107120
Bacteroides uniformis ATCC 8492,1,0,1693
Bacteroides uniformis ATCC 8492,1,0,2763869
Bacteroides uniformis ATCC 8492,1,0,2767630
Bartonella quintana str. Toulouse,1,0,1079
Beutenbergia cavernae DSM 12333,1,0,889
Bifidobacterium adolescentis ATCC 15703,1,0,304
Bifidobacterium adolescentis ATCC 15703,1,0,3106699
Bifidobacterium adolescentis ATCC 15703,1,0,3106787
Bifidobacterium adolescentis ATCC 15703,1,0,3108721
Bifidobacterium adolescentis ATCC 15703,1,0,3108722
Bifidobacterium adolescentis ATCC 15703,1,0,3108724
Bifidobacterium adolescentis ATCC 15703,1,0,3108730
Bifidobacterium adolescentis ATCC 15703,1,0,3108733
Bifidobacterium adolescentis ATCC 15703,1,0,3108738
Bifidobacterium adolescentis ATCC 15703,1,0,3108743
Bifidobacterium adolescentis ATCC 15703,1,0,3108744
Bifidobacterium adolescentis ATCC 15703,1,0,3108749
Bifidobacterium adolescentis ATCC 15703,1,0,3108758
Bifidobacterium adolescentis ATCC 15703,1,0,3108759
Bifidobacterium adolescentis ATCC 15703,1,0,3108772
Bifidobacterium adolescentis ATCC 15703,1,0,3108777
Bifidobacterium adolescentis ATCC 15703,1,0,3108783
Bifidobacterium adolescentis ATCC 15703,1,0,3108860
Bifidobacterium adolescentis ATCC 15703,1,0,3108866
Bifidobacterium adolescentis ATCC 15703,1,0,3111319
Bifidobacterium animalis subsp. lactis AD011,1,0,809
Bifidobacterium bifidum NCIMB 41171,1,0,1751
Bifidobacterium bifidum NCIMB 41171,1,0,6859
Bifidobacterium dentium Bd1,1,0,948
Bifidobacterium longum NCC2705,1,0,166
Blastopirellula marina DSM 3645,1,0,1638
Blautia hansenii DSM 20583,1,0,1814
Blautia hansenii DSM 20583,1,0,101191
Blautia hansenii DSM 20583,1,0,1237567
Bordetella avium 197N,1,0,1118
Bordetella bronchiseptica RB50,1,0,3611
Brachybacterium faecium DSM 4810,1,0,902
Bradyrhizobium sp. BTAi1,1,0,530
Burkholderia glumae BGR1,1,0,866
Burkholderia mallei ATCC 23344,1,0,368
Burkholderia pseudomallei K96243,1,0,360
Burkholderia pseudomallei K96243,1,0,39545
Burkholderia vietnamiensis G4,1,0,578
Caldicellulosiruptor saccharolyticus DSM 8903,1,0,592
Campylobacter coli RM2228,1,0,2316
Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1,0.9090909090909091,2.8,33479
Campylobacter jejuni subsp. jejuni NCTC 11168-GSv,0.9090909090909091,2.8,33482
Campylobacter lari RM2100,1,0,708
Campylobacter upsaliensis RM3195,1,0,2315
Caulobacter segnis ATCC 21756,1,0,1171
Cellvibrio japonicus Ueda107,1,0,709
Chitinophaga pinensis DSM 2588,1,0,927
Chlorobaculum parvum NCIB 8327,1,0,767
Chlorobium ferrooxidans DSM 13031,1,0,2377
Chlorobium limicola DSM 245,1,0,765
Chlorobium phaeobacteroides DSM 266,1,0,528
Chloroflexus aggregans DSM 9485,1,0,834
Chloroherpeton thalassium ATCC 35110,1,0,768
Chromobacterium violaceum ATCC 12472,1,0,175
Clavibacter michiganensis subsp. michiganensis NCPPB 382,1,0,1097
Clostridium acetobutylicum ATCC 824,1,0,226
Clostridium botulinum A str. ATCC 3502,1,0,1101
Clostridium butyricum 5521,1,0,2495
Clostridium kluyveri DSM 555,1,0,590
Clostridium novyi NT,1,0,483
Clostridium perfringens ATCC 13124,1,0,442
Clostridium perfringens ATCC 13124,1,0,3110630
Clostridium perfringens ATCC 13124,1,0,3111128
Clostridium tetani E88,1,0,171
Colwellia psychrerythraea 34H,1,0,398
Corynebacterium amycolatum SK46,1,0,2618
Corynebacterium aurimucosum ATCC 700975,1,0,879
Corynebacterium aurimucosum ATCC 700975,1,0,2669
Corynebacterium aurimucosum ATCC 700975,1,0,371335
Corynebacterium aurimucosum ATCC 700975,1,0,371336
Corynebacterium aurimucosum ATCC 700975,1,0,371338
Corynebacterium diphtheriae NCTC 13129,1,0,3618
Corynebacterium glutamicum ATCC 13032,1,0,349
Corynebacterium glutamicum ATCC 13032,1,0,3642
Corynebacterium jeikeium K411,1,0,121
Corynebacterium kroppenstedtii DSM 44385,1,0,891
Corynebacterium urealyticum DSM 7109,1,0,1116
Croceibacter atlanticus HTCC2559,1,0,3641
Cupriavidus taiwanensis,1,0,649527
Cupriavidus taiwanensis,1,0,1100752
Cupriavidus taiwanensis,1,0,1490986
Cupriavidus taiwanensis,1,0,1956242
